image_path,label,class_name,source_dataset,original_split,original_style,artist,split_random,split_cross_a,split_cross_b,split_artist
data\standardized\places365\01755.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\places365\01756.jpg,0,photo,places365,,,,val,train,test,val
data\standardized\places365\01757.jpg,0,photo,places365,,,,test,train,test,test
data\standardized\wikiart\01758.jpg,1,art,wikiart,,,jim-lambie,train,train,test,train
data\standardized\artbench\01759.jpg,1,art,artbench,train,romanticism,vasily-tropinin,val,test,train,train
data\standardized\places365\01760.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\01761.jpg,1,art,artbench,train,expressionism,mario-zanini,test,test,train,train
data\standardized\artbench\01762.jpg,1,art,artbench,test,art_nouveau,egon-schiele,train,test,val,train
data\standardized\coco\01763.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\01764.jpg,0,photo,places365,,,,val,train,test,val
data\standardized\coco\01765.jpg,0,photo,coco,,,,val,test,val,test
data\standardized\artbench\01766.jpg,1,art,artbench,train,surrealism,ben,train,test,train,train
data\standardized\wikiart\01767.jpg,1,art,wikiart,,,vincent-van-gogh,train,train,test,train
data\standardized\wikiart\01768.jpg,1,art,wikiart,,,paul-cezanne,train,val,test,train
data\standardized\artbench\01769.jpg,1,art,artbench,train,post_impressionism,henri-matisse,val,test,train,train
data\standardized\places365\01770.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\01771.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\01772.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\01773.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\01774.jpg,1,art,wikiart,,,raphael-kirchner,train,train,test,train
data\standardized\artbench\01775.jpg,1,art,artbench,train,baroque,francisco-de-zurbaran,train,test,train,train
data\standardized\wikiart\01776.jpg,1,art,wikiart,,,arthur-segal,train,train,test,train
data\standardized\places365\01777.jpg,0,photo,places365,,,,val,val,test,val
data\standardized\coco\01778.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\01779.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\01780.jpg,1,art,artbench,train,ukiyo_e,utagawa-yoshikazu,test,test,train,val
data\standardized\wikiart\01781.jpg,1,art,wikiart,,,edouard-manet,train,train,test,train
data\standardized\artbench\01782.jpg,1,art,artbench,train,art_nouveau,felix-vallotton,train,test,val,train
data\standardized\wikiart\01783.jpg,1,art,wikiart,,,juan-de-valdes-leal,train,train,test,test
data\standardized\coco\01784.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\01785.jpg,1,art,artbench,train,ukiyo_e,shunkosai-hokushu,train,test,train,train
data\standardized\artbench\01786.jpg,1,art,artbench,test,art_nouveau,louis-comfort-tiffany,train,test,train,train
data\standardized\wikiart\01787.jpg,1,art,wikiart,,,fyodor-solntsev,train,train,test,train
data\standardized\artbench\01788.jpg,1,art,artbench,train,ukiyo_e,suzuki-harunobu,val,test,train,train
data\standardized\coco\01789.jpg,0,photo,coco,,,,test,test,val,test
data\standardized\coco\01790.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\01791.jpg,0,photo,coco,,,,val,test,train,test
data\standardized\coco\01792.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\01793.jpg,1,art,wikiart,,,nicholas-roerich,train,train,test,train
data\standardized\coco\01794.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\01795.jpg,0,photo,coco,,,,val,test,val,val
data\standardized\artbench\01796.jpg,1,art,artbench,train,art_nouveau,serge-sudeikin,train,test,train,train
data\standardized\wikiart\01797.jpg,1,art,wikiart,,,viktor-vasnetsov,train,train,test,test
data\standardized\wikiart\01798.jpg,1,art,wikiart,,,childe-hassam,train,train,test,test
data\standardized\places365\01799.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\01800.jpg,1,art,artbench,train,realism,ivan-mrkvicka,train,test,train,train
data\standardized\coco\01801.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\01802.jpg,1,art,artbench,train,post_impressionism,bela-czobel,train,test,train,train
data\standardized\wikiart\01803.jpg,1,art,wikiart,,,salvador-dali,train,train,test,train
data\standardized\coco\01804.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\01805.jpg,1,art,artbench,train,baroque,gabriel-metsu,test,test,train,test
data\standardized\places365\01806.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\01807.jpg,1,art,wikiart,,,arthur-verona,train,train,test,train
data\standardized\coco\01808.jpg,0,photo,coco,,,,test,test,val,val
data\standardized\places365\01809.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\01810.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\01811.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\artbench\01812.jpg,1,art,artbench,train,surrealism,edward-weston,test,test,val,train
data\standardized\wikiart\01813.jpg,1,art,wikiart,,,giovanni-battista-tiepolo,train,train,test,train
data\standardized\coco\01814.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\01815.jpg,0,photo,places365,,,,test,val,test,test
data\standardized\places365\01816.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\places365\01817.jpg,0,photo,places365,,,,test,train,test,test
data\standardized\places365\01818.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\01819.jpg,1,art,wikiart,,,ilya-repin,train,val,test,train
data\standardized\wikiart\01820.jpg,1,art,wikiart,,,paul-cezanne,train,train,test,train
data\standardized\artbench\01821.jpg,1,art,artbench,train,impressionism,lovis-corinth,train,test,val,train
data\standardized\coco\01822.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\01823.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\01824.jpg,0,photo,coco,,,,test,test,val,test
data\standardized\coco\01825.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\01826.jpg,1,art,wikiart,,,polychronis-lembesis,train,train,test,train
data\standardized\artbench\01827.jpg,1,art,artbench,train,surrealism,eileen-agar,test,test,train,train
data\standardized\coco\01828.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\01829.jpg,0,photo,places365,,,,val,train,test,val
data\standardized\artbench\01830.jpg,1,art,artbench,train,art_nouveau,zinaida-serebriakova,train,test,train,train
data\standardized\artbench\01831.jpg,1,art,artbench,train,art_nouveau,leon-bakst,train,test,train,test
data\standardized\artbench\01832.jpg,1,art,artbench,test,ukiyo_e,toyohara-chikanobu,train,test,train,val
data\standardized\artbench\01833.jpg,1,art,artbench,train,renaissance,leonardo-da-vinci,train,test,train,train
data\standardized\wikiart\01834.jpg,1,art,wikiart,,,romare-bearden,train,train,test,train
data\standardized\wikiart\01835.jpg,1,art,wikiart,,,georges-braque,train,train,test,train
data\standardized\wikiart\01836.jpg,1,art,wikiart,,,philip-guston,train,train,test,train
data\standardized\artbench\01837.jpg,1,art,artbench,train,surrealism,lubo-kristek,train,test,train,train
data\standardized\artbench\01838.jpg,1,art,artbench,train,expressionism,albert-bloch,val,test,train,test
data\standardized\places365\01839.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\01840.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\coco\01841.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\01842.jpg,1,art,wikiart,,,vieira-portuense,train,train,test,train
data\standardized\coco\01843.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\01844.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\01845.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\01846.jpg,1,art,artbench,train,art_nouveau,teodor-axentowicz,train,test,train,train
data\standardized\places365\01847.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\places365\01848.jpg,0,photo,places365,,,,test,train,test,test
data\standardized\artbench\01849.jpg,1,art,artbench,train,impressionism,willard-metcalf,train,test,train,train
data\standardized\places365\01850.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\01851.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\01852.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\01853.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\01854.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\coco\01855.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\01856.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\01857.jpg,0,photo,coco,,,,test,test,train,val
data\standardized\places365\01858.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\01859.jpg,1,art,wikiart,,,henrique-pousao,train,train,test,train
data\standardized\coco\01860.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\01861.jpg,1,art,artbench,test,renaissance,andrea-del-sarto,test,test,train,train
data\standardized\coco\01862.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\01863.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\01864.jpg,1,art,artbench,train,realism,halonen-pekka,train,test,val,train
data\standardized\artbench\01865.jpg,1,art,artbench,train,renaissance,paolo-veronese,train,test,train,train
data\standardized\coco\01866.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\01867.jpg,1,art,artbench,train,art_nouveau,otto-eckmann,train,test,train,train
data\standardized\artbench\01868.jpg,1,art,artbench,train,surrealism,frederick-sommer,val,test,train,test
data\standardized\coco\01869.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\01870.jpg,1,art,artbench,train,baroque,francisco-de-zurbaran,test,test,train,train
data\standardized\wikiart\01871.jpg,1,art,wikiart,,,bertalan-por,train,train,test,train
data\standardized\places365\01872.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\wikiart\01873.jpg,1,art,wikiart,,,francesco-guardi,train,train,test,train
data\standardized\places365\01874.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\places365\01875.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\01876.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\wikiart\01877.jpg,1,art,wikiart,,,ion-andreescu,train,train,test,test
data\standardized\coco\01878.jpg,0,photo,coco,,,,val,test,train,test
data\standardized\coco\01879.jpg,0,photo,coco,,,,test,test,train,val
data\standardized\places365\01880.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\01881.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\01882.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\places365\01883.jpg,0,photo,places365,,,,test,train,test,test
data\standardized\coco\01884.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\01885.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\01886.jpg,1,art,wikiart,,,august-macke,train,train,test,train
data\standardized\coco\01887.jpg,0,photo,coco,,,,test,test,val,val
data\standardized\wikiart\01888.jpg,1,art,wikiart,,,max-pechstein,train,train,test,val
data\standardized\artbench\01889.jpg,1,art,artbench,train,art_nouveau,nicholas-roerich,test,test,val,train
data\standardized\artbench\01890.jpg,1,art,artbench,test,art_nouveau,henry-van-de-velde,val,test,val,train
data\standardized\wikiart\01891.jpg,1,art,wikiart,,,robert-campin,train,train,test,val
data\standardized\coco\01892.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\01893.jpg,1,art,wikiart,,,le-corbusier,train,train,test,train
data\standardized\artbench\01894.jpg,1,art,artbench,train,realism,konstantin-bogaevsky,test,test,train,val
data\standardized\coco\01895.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\01896.jpg,1,art,wikiart,,,george-morland,train,train,test,train
data\standardized\coco\01897.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\01898.jpg,0,photo,coco,,,,test,test,val,val
data\standardized\artbench\01899.jpg,1,art,artbench,train,art_nouveau,arthur-rackham,train,test,train,test
data\standardized\coco\01900.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\01901.jpg,1,art,wikiart,,,paul-gauguin,train,train,test,val
data\standardized\artbench\01902.jpg,1,art,artbench,train,romanticism,sarah-purser,train,test,val,train
data\standardized\wikiart\01903.jpg,1,art,wikiart,,,kazuo-nakamura,train,train,test,train
data\standardized\artbench\01904.jpg,1,art,artbench,train,romanticism,carl-spitzweg,test,test,train,train
data\standardized\wikiart\01905.jpg,1,art,wikiart,,,lucian-freud,train,train,test,train
data\standardized\wikiart\01906.jpg,1,art,wikiart,,,william-merritt-chase,train,val,test,train
data\standardized\wikiart\01907.jpg,1,art,wikiart,,,paul-klee,train,train,test,train
data\standardized\coco\01908.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\01909.jpg,1,art,wikiart,,,giorgio-morandi,train,val,test,train
data\standardized\artbench\01910.jpg,1,art,artbench,train,romanticism,orest-kiprensky,train,test,train,train
data\standardized\artbench\01911.jpg,1,art,artbench,train,renaissance,lucas-cranach-the-elder,train,test,train,train
data\standardized\places365\01912.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\01913.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\01914.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\01915.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\01916.jpg,1,art,wikiart,,,john-henry-twachtman,train,train,test,val
data\standardized\wikiart\01917.jpg,1,art,wikiart,,,john-singer-sargent,train,train,test,train
data\standardized\wikiart\01918.jpg,1,art,wikiart,,,ivan-bilibin,train,train,test,train
data\standardized\wikiart\01919.jpg,1,art,wikiart,,,vasily-vereshchagin,train,train,test,train
data\standardized\places365\01920.jpg,0,photo,places365,,,,val,train,test,val
data\standardized\coco\01921.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\01922.jpg,1,art,artbench,train,renaissance,bartholomaus-spranger,test,test,train,test
data\standardized\places365\01923.jpg,0,photo,places365,,,,val,train,test,test
data\standardized\places365\01924.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\artbench\01925.jpg,1,art,artbench,train,ukiyo_e,utagawa-kunimasa,train,test,train,train
data\standardized\coco\01926.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\01927.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\01928.jpg,1,art,wikiart,,,dumitru-ghiatza,train,train,test,val
data\standardized\coco\01929.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\01930.jpg,1,art,wikiart,,,santiago-rusinol,train,val,test,train
data\standardized\coco\01931.jpg,0,photo,coco,,,,test,test,val,test
data\standardized\artbench\01932.jpg,1,art,artbench,train,art_nouveau,ivan-bilibin,train,test,train,train
data\standardized\artbench\01933.jpg,1,art,artbench,train,romanticism,eugene-delacroix,val,test,train,train
data\standardized\wikiart\01934.jpg,1,art,wikiart,,,john-henry-twachtman,train,train,test,val
data\standardized\places365\01935.jpg,0,photo,places365,,,,val,val,test,val
data\standardized\places365\01936.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\01937.jpg,1,art,artbench,train,surrealism,octavio-ocampo,train,test,train,train
data\standardized\coco\01938.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\01939.jpg,0,photo,coco,,,,test,test,val,val
data\standardized\artbench\01940.jpg,1,art,artbench,train,ukiyo_e,tsukioka-yoshitoshi,train,test,train,train
data\standardized\coco\01941.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\01942.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\01943.jpg,1,art,artbench,train,baroque,gerard-terborch,train,test,val,train
data\standardized\coco\01944.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\01945.jpg,1,art,artbench,test,impressionism,fern-coppedge,train,test,train,train
data\standardized\wikiart\01946.jpg,1,art,wikiart,,,frank-stella,train,train,test,train
data\standardized\artbench\01947.jpg,1,art,artbench,test,romanticism,giovanni-battista-torriglia,train,test,train,train
data\standardized\coco\01948.jpg,0,photo,coco,,,,val,test,val,test
data\standardized\wikiart\01949.jpg,1,art,wikiart,,,lucas-cranach-the-elder,train,train,test,train
data\standardized\coco\01950.jpg,0,photo,coco,,,,val,test,train,test
data\standardized\places365\01951.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\01952.jpg,1,art,wikiart,,,sven-lukin,train,train,test,train
data\standardized\coco\01953.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\01954.jpg,1,art,wikiart,,,ivan-kramskoy,train,train,test,test
data\standardized\coco\01955.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\01956.jpg,0,photo,places365,,,,test,train,test,test
data\standardized\artbench\01957.jpg,1,art,artbench,train,impressionism,camille-pissarro,train,test,train,val
data\standardized\places365\01958.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\01959.jpg,1,art,artbench,train,expressionism,carlos-botelho,train,test,train,test
data\standardized\artbench\01960.jpg,1,art,artbench,train,art_nouveau,carlos-schwabe,train,test,train,train
data\standardized\coco\01961.jpg,0,photo,coco,,,,val,test,train,val
data\standardized\artbench\01962.jpg,1,art,artbench,train,surrealism,j,train,test,val,val
data\standardized\coco\01963.jpg,0,photo,coco,,,,val,test,val,test
data\standardized\places365\01964.jpg,0,photo,places365,,,,val,train,test,test
data\standardized\coco\01965.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\01966.jpg,0,photo,coco,,,,val,test,train,val
data\standardized\artbench\01967.jpg,1,art,artbench,train,impressionism,camil-ressu,train,test,val,train
data\standardized\places365\01968.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\01969.jpg,1,art,wikiart,,,ivan-bilibin,train,train,test,train
data\standardized\artbench\01970.jpg,1,art,artbench,train,surrealism,sorin-ilfoveanu,train,test,train,train
data\standardized\places365\01971.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\artbench\01972.jpg,1,art,artbench,train,ukiyo_e,suzuki-harunobu,train,test,train,train
data\standardized\places365\01973.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\01974.jpg,1,art,artbench,train,art_nouveau,koloman-moser,train,test,train,test
data\standardized\artbench\01975.jpg,1,art,artbench,train,art_nouveau,byam-shaw,train,test,train,train
data\standardized\places365\01976.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\wikiart\01977.jpg,1,art,wikiart,,,ivan-shishkin,train,train,test,train
data\standardized\places365\01978.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\coco\01979.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\01980.jpg,1,art,artbench,test,art_nouveau,gerda-wegener,val,test,train,test
data\standardized\places365\01981.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\01982.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\01983.jpg,1,art,wikiart,,,ivan-aivazovsky,train,train,test,train
data\standardized\artbench\01984.jpg,1,art,artbench,train,renaissance,hieronymus-bosch,train,test,train,train
data\standardized\coco\01985.jpg,0,photo,coco,,,,test,test,val,test
data\standardized\places365\01986.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\artbench\01987.jpg,1,art,artbench,train,ukiyo_e,tsukioka-yoshitoshi,train,test,train,train
data\standardized\artbench\01988.jpg,1,art,artbench,train,realism,pavel-fedotov,train,test,train,train
data\standardized\wikiart\01989.jpg,1,art,wikiart,,,john-everett-millais,train,train,test,train
data\standardized\coco\01990.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\01991.jpg,1,art,wikiart,,,frank-stella,train,train,test,train
data\standardized\artbench\01992.jpg,1,art,artbench,train,post_impressionism,konstantin-yuon,test,test,train,train
data\standardized\wikiart\01993.jpg,1,art,wikiart,,,giorgio-vasari,train,train,test,test
data\standardized\coco\01994.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\01995.jpg,1,art,artbench,test,impressionism,piet-mondrian,train,test,train,val
data\standardized\wikiart\01996.jpg,1,art,wikiart,,,eugene-boudin,train,train,test,val
data\standardized\coco\01997.jpg,0,photo,coco,,,,val,test,val,test
data\standardized\artbench\01998.jpg,1,art,artbench,train,ukiyo_e,katsukawa-shunsho,train,test,train,train
data\standardized\wikiart\01999.jpg,1,art,wikiart,,,pyotr-konchalovsky,train,train,test,test
data\standardized\coco\02000.jpg,0,photo,coco,,,,val,test,val,val
data\standardized\wikiart\02001.jpg,1,art,wikiart,,,corneliu-michailescu,train,train,test,train
data\standardized\coco\02002.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\02003.jpg,1,art,artbench,train,expressionism,zinaida-serebriakova,train,test,val,train
data\standardized\wikiart\02004.jpg,1,art,wikiart,,,tintoretto,train,train,test,train
data\standardized\coco\02005.jpg,0,photo,coco,,,,val,test,val,test
data\standardized\wikiart\02006.jpg,1,art,wikiart,,,pierre-bonnard,train,train,test,val
data\standardized\coco\02007.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\02008.jpg,0,photo,places365,,,,test,train,test,test
data\standardized\coco\02009.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\02010.jpg,1,art,artbench,train,impressionism,camille-pissarro,train,test,train,val
data\standardized\artbench\02011.jpg,1,art,artbench,train,romanticism,eleanor-fortescue-brickdale,val,test,train,train
data\standardized\artbench\02012.jpg,1,art,artbench,train,ukiyo_e,suzuki-harunobu,train,test,train,train
data\standardized\places365\02013.jpg,0,photo,places365,,,,test,val,test,val
data\standardized\wikiart\02014.jpg,1,art,wikiart,,,brice-marden,train,train,test,train
data\standardized\artbench\02015.jpg,1,art,artbench,train,baroque,guido-reni,train,test,train,train
data\standardized\wikiart\02016.jpg,1,art,wikiart,,,gabriel-metsu,train,train,test,test
data\standardized\places365\02017.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\02018.jpg,1,art,wikiart,,,oskar-kokoschka,train,train,test,train
data\standardized\wikiart\02019.jpg,1,art,wikiart,,,ivan-bilibin,train,train,test,train
data\standardized\wikiart\02020.jpg,1,art,wikiart,,,walter-de-maria,train,train,test,train
data\standardized\places365\02021.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\artbench\02022.jpg,1,art,artbench,train,impressionism,george-henry,val,test,train,train
data\standardized\places365\02023.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\02024.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\02025.jpg,1,art,wikiart,,,bernardo-bellotto,val,train,test,train
data\standardized\artbench\02026.jpg,1,art,artbench,train,renaissance,el-greco,train,test,train,train
data\standardized\artbench\02027.jpg,1,art,artbench,train,baroque,francesco-ribalta,test,test,val,train
data\standardized\wikiart\02028.jpg,1,art,wikiart,,,joaquγö£╨│γö¼╨╜n-sorolla,train,train,test,train
data\standardized\coco\02029.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\02030.jpg,1,art,artbench,train,renaissance,jean-fouquet,train,test,train,train
data\standardized\artbench\02031.jpg,1,art,artbench,test,romanticism,alfred-dehodencq,train,test,train,val
data\standardized\wikiart\02032.jpg,1,art,wikiart,,,ilya-repin,train,train,test,train
data\standardized\artbench\02033.jpg,1,art,artbench,test,ukiyo_e,toshusai-sharaku,train,test,train,train
data\standardized\coco\02034.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\02035.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\02036.jpg,1,art,wikiart,,,octav-bancila,train,train,test,train
data\standardized\wikiart\02037.jpg,1,art,wikiart,,,robert-julian-onderdonk,train,val,test,test
data\standardized\artbench\02038.jpg,1,art,artbench,test,baroque,hercules-seghers,val,test,train,test
data\standardized\places365\02039.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\02040.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\02041.jpg,1,art,wikiart,,,arnold-bγö£╨│γö¼γòócklin,train,train,test,val
data\standardized\places365\02042.jpg,0,photo,places365,,,,test,val,test,val
data\standardized\coco\02043.jpg,0,photo,coco,,,,val,test,train,val
data\standardized\places365\02044.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\02045.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\02046.jpg,1,art,artbench,train,baroque,gerard-van-honthorst,train,test,train,train
data\standardized\wikiart\02047.jpg,1,art,wikiart,,,ivan-bilibin,train,train,test,train
data\standardized\places365\02048.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\02049.jpg,1,art,wikiart,,,francisco-de-zurbaran,train,train,test,train
data\standardized\artbench\02050.jpg,1,art,artbench,test,surrealism,jasnikowski,train,test,train,train
data\standardized\coco\02051.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\02052.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\02053.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\02054.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\02055.jpg,1,art,artbench,train,expressionism,dimitris-mytaras,train,test,train,train
data\standardized\coco\02056.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\02057.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\02058.jpg,1,art,artbench,train,ukiyo_e,utagawa-hiroshige-ii,train,test,train,train
data\standardized\places365\02059.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\02060.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\02061.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\02062.jpg,1,art,wikiart,,,aleksey-savrasov,train,train,test,train
data\standardized\places365\02063.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\02064.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\02065.jpg,1,art,wikiart,,,corneliu-baba,train,train,test,train
data\standardized\artbench\02066.jpg,1,art,artbench,train,baroque,gian-lorenzo-bernini,train,test,train,val
data\standardized\artbench\02067.jpg,1,art,artbench,train,ukiyo_e,utagawa-yoshitaki,train,test,train,train
data\standardized\coco\02068.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\02069.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\02070.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\places365\02071.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\wikiart\02072.jpg,1,art,wikiart,,,maurice-prendergast,train,train,test,val
data\standardized\coco\02073.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\02074.jpg,1,art,artbench,train,realism,joseph-decamp,val,test,train,test
data\standardized\wikiart\02075.jpg,1,art,wikiart,,,vincent-van-gogh,train,train,test,train
data\standardized\coco\02076.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\02077.jpg,0,photo,coco,,,,test,test,val,val
data\standardized\wikiart\02078.jpg,1,art,wikiart,,,benozzo-gozzoli,train,train,test,train
data\standardized\coco\02079.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\02080.jpg,1,art,artbench,train,art_nouveau,carl-larsson,val,test,train,val
data\standardized\coco\02081.jpg,0,photo,coco,,,,test,test,val,val
data\standardized\artbench\02082.jpg,1,art,artbench,train,romanticism,domenico-induno,train,test,train,train
data\standardized\coco\02083.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\02084.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\02085.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\02086.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\02087.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\02088.jpg,0,photo,places365,,,,val,train,test,val
data\standardized\places365\02089.jpg,0,photo,places365,,,,val,train,test,val
data\standardized\coco\02090.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\02091.jpg,0,photo,coco,,,,val,test,val,test
data\standardized\coco\02092.jpg,0,photo,coco,,,,val,test,val,val
